group	title	authors	abstract	categories	author comment
0	Physicality of evolution and statistical contractivity are equivalent notions of maps	Matteo Scandi,Paolo Abiuso,Dario De Santis,Jacopo Surace	Statistical quantifiers are generically required to contract under physical evolutions, following the intuition that information should be lost under noisy transformations. This principle is very relevant in statistics, and it even allows to derive uniqueness results based on it: by imposing their contractivity under any physical maps, the Chentsov-Petz theorem singles out a unique family of metrics on the space of probability distributions (or density matrices) called the Fisher information metrics. This result might suggest that statistical quantifiers are a derived concept, as their very definition is based on physical maps. The aim of this work is to disprove this belief. Indeed, we present a result dual to the Chentsov-Petz theorem, proving that among all possible linear maps, the only ones that contract the Fisher information are exactly the physical ones. This result shows that, contrary to the common opinion, there is no fundamental hierarchy between physical maps and canonical statistical quantifiers, as either of them can be defined in terms of the other.	quant-ph	None
1	Decentralized Learning over Wireless Networks with Broadcast-Based Subgraph Sampling	Daniel Pérez Herrera,Zheng Chen,Erik G. Larsson	This work centers on the communication aspects of decentralized learning over wireless networks, using consensus-based decentralized stochastic gradient descent (D-SGD). Considering the actual communication cost or delay caused by in-network information exchange in an iterative process, our goal is to achieve fast convergence of the algorithm measured by improvement per transmission slot. We propose BASS, an efficient communication framework for D-SGD over wireless networks with broadcast transmission and probabilistic subgraph sampling. In each iteration, we activate multiple subsets of non-interfering nodes to broadcast model updates to their neighbors. These subsets are randomly activated over time, with probabilities reflecting their importance in network connectivity and subject to a communication cost constraint (e.g., the average number of transmission slots per iteration). During the consensus update step, only bi-directional links are effectively preserved to maintain communication symmetry. In comparison to existing link-based scheduling methods, the inherent broadcasting nature of wireless channels offers intrinsic advantages in speeding up convergence of decentralized learning by creating more communicated links with the same number of transmission slots.	cs.LG	6 pages, 4 figures, submitted for possible conference publication
2	Planetary Engulfment Prognosis within the $ρ$ CrB System	Stephen R. Kane	Exoplanets have been detected around stars at various stages of their lives, ranging from young stars emerging from formation, to latter stages of evolution, including white dwarfs and neutron stars. Post main sequence stellar evolution can result in dramatic, and occasionally traumatic, alterations to the planetary system architecture, such as tidal disruption of planets and engulfment by the host star. The $\rho$ CrB system is a particularly interesting case of advanced main sequence evolution, due to the relative late age and brightness of the host star, its similarity to solar properties, and the harboring of four known planets. Here, we use stellar evolution models to estimate the expected trajectory of the $\rho$ CrB stellar properties, especially over the coming 1.0-1.5 billion years as it evolves off the main sequence. We show that the inner three planets (e, b, and c) are engulfed during the red giant phase and asymptotic giant branch, likely destroying those planets via either evaporation or tidal disruption at the fluid body Roche limit. The outer planet, planet d, is briefly engulfed by the star several times toward the end of the asymptotic giant branch, but the stellar mass loss and subsequent changing planetary orbit may allow the survival of the planet into the white dwarf phase of the stellar evolution. We discuss the implications of this outcome for similar systems, and describe the consequences for planets that may lie within the Habitable Zone of the system.	astro-ph.EP	10 pages, 3 figures, 1 table, accepted for publication in the   Astronomical Journal
3	LaksNet: an end-to-end deep learning model for self-driving cars in Udacity simulator	Lakshmikar R. Polamreddy,Youshan Zhang	The majority of road accidents occur because of human errors, including distraction, recklessness, and drunken driving. One of the effective ways to overcome this dangerous situation is by implementing self-driving technologies in vehicles. In this paper, we focus on building an efficient deep-learning model for self-driving cars. We propose a new and effective convolutional neural network model called `LaksNet' consisting of four convolutional layers and two fully connected layers. We conduct extensive experiments using our LaksNet model with the training data generated from the Udacity simulator. Our model outperforms many existing pre-trained ImageNet and NVIDIA models in terms of the duration of the car for which it drives without going off the track on the simulator.	cs.CV	None
4	Learned, Uncertainty-driven Adaptive Acquisition for Photon-Efficient Multiphoton Microscopy	Cassandra Tong Ye,Jiashu Han,Kunzan Liu,Anastasios Angelopoulos,Linda Griffith,Kristina Monakhova,Sixian You	Multiphoton microscopy (MPM) is a powerful imaging tool that has been a critical enabler for live tissue imaging. However, since most multiphoton microscopy platforms rely on point scanning, there is an inherent trade-off between acquisition time, field of view (FOV), phototoxicity, and image quality, often resulting in noisy measurements when fast, large FOV, and/or gentle imaging is needed. Deep learning could be used to denoise multiphoton microscopy measurements, but these algorithms can be prone to hallucination, which can be disastrous for medical and scientific applications. We propose a method to simultaneously denoise and predict pixel-wise uncertainty for multiphoton imaging measurements, improving algorithm trustworthiness and providing statistical guarantees for the deep learning predictions. Furthermore, we propose to leverage this learned, pixel-wise uncertainty to drive an adaptive acquisition technique that rescans only the most uncertain regions of a sample. We demonstrate our method on experimental noisy MPM measurements of human endometrium tissues, showing that we can maintain fine features and outperform other denoising methods while predicting uncertainty at each pixel. Finally, with our adaptive acquisition technique, we demonstrate a 120X reduction in acquisition time and total light dose while successfully recovering fine features in the sample. We are the first to demonstrate distribution-free uncertainty quantification for a denoising task with real experimental data and the first to propose adaptive acquisition based on reconstruction uncertainty	eess.IV	None
5	Accuracy analysis for explicit-implicit finite volume schemes on cut cell meshes	Sandra May,Fabian Laakmann	The solution of time-dependent hyperbolic conservation laws on cut cell meshes causes the small cell problem: standard schemes are not stable on the arbitrarily small cut cells if an explicit time stepping scheme is used and the time step size is chosen based on the size of the background cells. In [J. Sci. Comput. 71, 919-943 (2017)], the mixed explicit implicit approach in general and MUSCL-Trap in particular have been introduced to solve this problem by using implicit time stepping on the cut cells. Theoretical and numerical results have indicated that this might lead to a loss in accuracy when switching between the explicit and implicit time stepping. In this contribution we examine this in more detail and will prove in one dimension that the specific combination MUSCL-Trap of an explicit second-order and an implicit second-order scheme results in a fully second-order mixed scheme. As this result is unlikely to hold in two dimensions, we also introduce two new versions of mixed explicit implicit schemes based on exchanging the explicit scheme. We present numerical tests in two dimensions where we compare the new versions with the original MUSCL-Trap scheme.	math.NA	None
6	Deep Feature Registration for Unsupervised Domain Adaptation	Youshan Zhang,Brian D. Davison	While unsupervised domain adaptation has been explored to leverage the knowledge from a labeled source domain to an unlabeled target domain, existing methods focus on the distribution alignment between two domains. However, how to better align source and target features is not well addressed. In this paper, we propose a deep feature registration (DFR) model to generate registered features that maintain domain invariant features and simultaneously minimize the domain-dissimilarity of registered features and target features via histogram matching. We further employ a pseudo label refinement process, which considers both probabilistic soft selection and center-based hard selection to improve the quality of pseudo labels in the target domain. Extensive experiments on multiple UDA benchmarks demonstrate the effectiveness of our DFR model, resulting in new state-of-the-art performance.	cs.CV	None
7	Anatomically-aware Uncertainty for Semi-supervised Image Segmentation	Sukesh Adiga V,Jose Dolz,Herve Lombaert	Semi-supervised learning relaxes the need of large pixel-wise labeled datasets for image segmentation by leveraging unlabeled data. A prominent way to exploit unlabeled data is to regularize model predictions. Since the predictions of unlabeled data can be unreliable, uncertainty-aware schemes are typically employed to gradually learn from meaningful and reliable predictions. Uncertainty estimation methods, however, rely on multiple inferences from the model predictions that must be computed for each training step, which is computationally expensive. Moreover, these uncertainty maps capture pixel-wise disparities and do not consider global information. This work proposes a novel method to estimate segmentation uncertainty by leveraging global information from the segmentation masks. More precisely, an anatomically-aware representation is first learnt to model the available segmentation masks. The learnt representation thereupon maps the prediction of a new segmentation into an anatomically-plausible segmentation. The deviation from the plausible segmentation aids in estimating the underlying pixel-level uncertainty in order to further guide the segmentation network. The proposed method consequently estimates the uncertainty using a single inference from our representation, thereby reducing the total computation. We evaluate our method on two publicly available segmentation datasets of left atria in cardiac MRIs and of multiple organs in abdominal CTs. Our anatomically-aware method improves the segmentation accuracy over the state-of-the-art semi-supervised methods in terms of two commonly used evaluation metrics.	cs.CV	Accepted at Medical Image Analysis. Code is available at:   $\href{https://github.com/adigasu/Anatomically-aware_Uncertainty_for_Semi-supervised_Segmentation}{Github}$
8	Bounding the approach to oligarchy in a variant of the yard-sale model	David W. Cohen,Bruce M. Boghosian	We present analytical results for the Gini coefficient of economic inequality under the dynamics of a modified Yard-Sale Model of kinetic asset exchange. A variant of the Yard-Sale Model is introduced by modifying the underlying binary transaction of the classical system. It is shown that the Gini coefficient is monotone under the resulting dynamics but the approach to oligarchy, as measured by the Gini index, can be bounded by a first-order differential inequality used in conjunction with the differential Gronwall inequality. The asymptotics of the modified system, with a redistributive tax, are derived and shown to agree with the original, taxed Yard-Sale Model, which implies the modified system is as suitable for matching real wealth distributions.	cond-mat.stat-mech	None
9	Beware the recent past: a bias in spectral energy distribution modelling due to bursty star formation	P. Haskell,S. Das,D. J. B. Smith,R. K. Cochrane,C. C. Hayward,D. Anglés-Alcázar	We investigate how the recovery of galaxy star formation rates (SFRs) using energy-balance spectral energy distribution (SED) fitting codes depends on their recent star formation histories (SFHs). We use the Magphys and Prospector codes to fit 6,706 synthetic spectral energy distributions (SEDs) of simulated massive galaxies at $1 < z < 8$ from the Feedback in Realistic Environments (FIRE) project. We identify a previously unknown systematic error in the Magphys results due to bursty star formation: the SFR estimates of individual galaxies can differ from the true values by as much as 1 dex, at large statistical significance ($>5\sigma$), depending on the details of their recent SFH. The SFRs inferred using Prospector do not exhibit this trend, likely because unlike Magphys, Prospector uses non-parametric SFHs. We urge caution when using Magphys, or other codes assuming parametric SFHs, to study galaxies where the average SFR may have changed significantly over the last $\sim$100 Myr, such as those which have recently quenched their star formation or those experiencing an ongoing burst. This concern is especially relevant, for example, when fitting JWST observations of very high-redshift galaxies.	astro-ph.GA	5 pages, 3 figures, submitted to MNRAS Letters
0	SN 2022jox: An extraordinarily ordinary Type II SN with Flash Spectroscopy	Jennifer E. Andrews,Jeniveve Pearson,Griffin Hosseinzadeh,K. Azalee Bostroem,Yize Dong,Manisha Shrestha,Jacob E. Jencson,David J. Sand,S. Valenti,Emily Hoang,Daryl Janzen,M. J. Lundquist,Nicolas Meza,Samuel Wyatt,Saurabh W. Jha,Chris Simpson,Joseph Farah,Estefania Padilla Gonzalez,D. Andrew Howell,Curtis McCully,Megan Newsome,Craig Pellegrino,Giacomo Terreran	We present high cadence optical and ultraviolet observations of the Type II supernova (SN), SN 2022jox which exhibits early spectroscopic high ionization flash features of \ion{H}{1}, \ion{He}{2}, \ion{C}{4}, and \ion{N}{4} that disappear within the first few days after explosion. SN 2022jox was discovered by the Distance Less than 40 Mpc (DLT40) survey $\sim$0.75 days after explosion with followup spectra and UV photometry obtained within minutes of discovery. The SN reached a peak brightness of M$_V \sim$ $-$17.3 mag, and has an estimated $^{56}$Ni mass of 0.04 M$_{\odot}$, typical values for normal Type II SNe. The modeling of the early lightcurve and the strong flash signatures present in the optical spectra indicate interaction with circumstellar material (CSM) created from a progenitor with a mass loss rate of $\dot{M} \sim 10^{-3}-10^{-2}\ M_\odot\ \mathrm{yr}^{-1}$. There may also be some indication of late-time CSM interaction in the form of an emission line blueward of H$\alpha$ seen in spectra around 200 days. The mass-loss rate is much higher than the values typically associated with quiescent mass loss from red supergiants, the known progenitors of Type II SNe, but is comparable to inferred values from similar core collapse SNe with flash features, suggesting an eruptive event or a superwind in the progenitor in the months or years before explosion.	astro-ph.HE	Submitted to ApJ
1	Smooth generalized symmetries of quantum field theories	Ben Gripaios,Oscar Randal-Williams,Joseph Tooby-Smith	Dynamical quantum field theories (QFTs), such as those in which spacetimes are equipped with a metric and/or a field in the form of a smooth map to a target manifold, can be formulated axiomatically using the language of $\infty$-categories. According to a geometric version of the cobordism hypothesis, such QFTs collectively assemble themselves into objects in an $\infty$-topos of smooth spaces. We show how this allows one to define and study generalized global symmetries of such QFTs. The symmetries are themselves smooth, so the `higher-form' symmetry groups can be endowed with, e.g., a Lie group structure.   Among the more surprising general implications for physics are, firstly, that QFTs in spacetime dimension $d$, considered collectively, can have $d$-form symmetries, going beyond the known $(d-1)$-form symmetries of individual QFTs and, secondly, that a global symmetry of a QFT can be anomalous even before we try to gauge it, due to a failure to respect either smoothness (in that a symmetry of an individual QFT does not smoothly extend to QFTs collectively) or locality (in that a symmetry of an unextended QFT does not extend to an extended one).   Smoothness anomalies are shown to occur even in 2-state systems in quantum mechanics (here formulated axiomatically by equipping $d=1$ spacetimes with a metric, an orientation, and perhaps some unitarity structure). Locality anomalies are shown to occur even for invertible QFTs defined on $d=1$ spacetimes equipped with an orientation and a smooth map to a target manifold. These correspond in physics to topological actions for a particle moving on the target and the relation to an earlier classification of such actions using invariant differential cohomology is elucidated.	hep-th	72 pages
2	Physical Properties of 5,000 Cool LMC Supergiants with Gaia XP Spectra: A Detailed Portrait of the Upper HR Diagram Hints at Missing Supernova Progenitors	Trevor Z. Dorn-Wallenstein,Kathryn F. Neugent,Emily M. Levesque	Characterizing the physical properties of cool supergiants allows us to probe the final stages of a massive star's evolution before it undergoes core collapse. Despite their importance, the fundamental properties for these stars -- $T_{\rm eff}$ and $\log L/L_\odot$ -- are only known for a limited number of objects. The third data release of the Gaia mission contains precise photometry and low-resolution spectroscopy of hundreds of cool supergiants in the LMC with well-constrained properties. Using these data, we train a simple and easily-interpretable machine learning model to regress effective temperatures and luminosities with high accuracy and precision comparable to the training data. We then apply our model to 5000 cool supergiants, many of which have no previously-published $T_{\rm eff}$ or $L$ estimates. The resulting Hertzprung-Russell diagram is well-populated, allowing us to study the distribution of cool supergiants in great detail. Examining the luminosity functions of our sample, we find a notable flattening in the luminosity function of yellow supergiants above $\log L/L_\odot=5$, and a corresponding steepening of the red supergiant luminosity function. We place this finding in context with previous results, and present its implications for the infamous red supergiant problem.	astro-ph.SR	Accepted to ApJ. 26 pages, 13 figures. Our catalog of temperatures   and luminosities will be made publicly available online
3	Gauged cooling of topological excitations and emergent fermions on quantum simulators	Gilad Kishony,Mark S. Rudner,Achim Rosch,Erez Berg	"Simulated cooling is a robust method for preparing low-energy states of many-body Hamiltonians on near-term quantum simulators. In such schemes, a subset of the simulator's spins (or qubits) are treated as a ""bath,"" which extracts energy and entropy from the system of interest. However, such protocols are inefficient when applied to systems whose excitations are highly non-local in terms of the microscopic degrees of freedom, such as topological phases of matter; such excitations are difficult to extract by a local coupling to a bath. We explore a route to overcome this obstacle by encoding of the system's degrees of freedom into those of the quantum simulator in a non-local manner. To illustrate the approach, we show how to efficiently cool the ferromagnetic phase of the quantum Ising model, whose excitations are domain walls, via a ""gauged cooling"" protocol in which the Ising spins are coupled to a $Z_2$ gauge field that simultaneously acts as a reservoir for removing excitations. We show that our protocol can prepare the ground states of the ferromagnetic and paramagnetic phases equally efficiently. The gauged cooling protocol naturally extends to (interacting) fermionic systems, where it is equivalent to cooling by coupling to a fermionic bath via single-fermion hopping."	cond-mat.str-el	None
4	Particle detector models from path integrals of localized quantum fields	Bruno de S. L. Torres	Using the Schwinger-Keldysh path integral, we draw a connection between localized quantum field theories and more commonly used models of local probes in Relativistic Quantum Information (RQI). By integrating over and then tracing out the inaccessible modes of the localized field being used as a probe, we show that, at leading order in perturbation theory, the dynamics of any finite number of modes of the probe field is exactly that of a finite number of harmonic-oscillator Unruh-DeWitt (UDW) detectors. The equivalence is valid for a rather general class of input states of the probe-target field system, as well as for any arbitrary number of modes included as detectors. The path integral also provides a closed-form expression which gives us a systematic way of obtaining the corrections to the UDW model at higher orders in perturbation theory due to the existence of the additional modes that have been traced out. This approach vindicates and extends a recently proposed bridge between detector-based and field-theory-based measurement frameworks for quantum field theory [arXiv:2308.11698], and also points to potential connections between particle detector models in RQI and other areas of physics where path integral methods are more commonplace -- in particular, the Wilsonian approach to the renormalization group and effective field theories.	quant-ph	15 pages + references, 1 appendix. RevTeX 4.2
5	Dynamical Spectral Response of Fractonic Quantum Matter	Philip Zechmann,Julian Boesl,Johannes Feldmeier,Michael Knap	Quantum many-body systems with fractonic excitations can realize fascinating phases of matter. Here, we study the low-energy excitations of a constrained Bose-Hubbard model in one dimension, which conserves the center of mass or, equivalently, the dipole moment in addition to the particle number. This model is known to realize fractonic phases, including a dipole Mott insulator, a dipole Luttinger liquid, and a metastable dipole supersolid. We use tensor network methods to compute spectral functions from the dynamical response of the system and verify predictions from low-energy field theories of the corresponding ground state phases. We demonstrate the existence of gapped excitations compatible with strong coupling results in a dipole Mott insulator, linear sound modes characteristic of a Luttinger liquid of dipoles, and soft quadratic modes at both zero and finite momenta in a supersolid state with charge density wave order and phase coherence at non-integer filling.	cond-mat.quant-gas	11 pages, 4 figures
6	Formation of quenched massive galaxies in FIRE cosmological zoom-in simulations with multi-channel AGN feedback	Lindsey Byrne,Claude-André Faucher-Giguère,Sarah Wellons,Philip F. Hopkins,Daniel Anglés-Alcázar,Imran Sultan,Nastasha Wijers,Jorge Moreno,Sam Ponnada	Feedback from supermassive black holes (SMBHs) is believed to be a critical driver of the observed quenching of star formation and color bimodality of galaxies above the Milky Way mass scale. In recent years, various forms of SMBH feedback have been implemented as subgrid models in galaxy formation simulations, but most implementations have involved simplified prescriptions or coarse-grained models of the interstellar medium (ISM). We present the first set of FIRE-3 cosmological zoom-in simulations with AGN feedback evolved to $z\sim0$, examining a set of galaxies with halos in the mass range $10^{12}-10^{13}\,{\rm M_{\odot}}$. These high-resolution simulations combine detailed stellar and ISM physics with multi-channel AGN feedback including radiative feedback, mechanical outflows, and in some simulations, cosmic rays. We find that massive (>L*) galaxies in these simulations can match local scaling relations including the stellar mass-halo mass relation, the $M_{\rm BH}$-$\sigma$ relation, the size-mass relation, and the Faber-Jackson relation. Many of the massive galaxies in the simulations with AGN feedback have quenched star formation and elliptical morphologies, in qualitative agreement with observations. In contrast, simulations at the massive end without AGN feedback produce galaxies that are too massive and form stars at too high rates, are order-of-magnitude too compact, and have velocity dispersions well above Faber-Jackson. Despite these successes, the AGN physics models analyzed do not necessarily produce uniformly realistic galaxies across the full mass range studied when the feedback parameters are held constant, indicating that further refinements of the black hole modeling may be warranted.	astro-ph.GA	17 pages, 8 figures, submitted to ApJ
7	Extending preferred axion models via heavy-quark induced early matter domination	Andrew Cheek,Jacek K. Osiński,Leszek Roszkowski	We examine the cosmological consequences of the heavy quarks in KSVZ-type axion models. We find that their presence often causes an early matter domination phase, altering the evolution of the Universe. This extends the axion mass into the region where standard cosmology leads to overproduction, and allows for a greater number of axion models with non-renormalizable terms to be viable. Quantitatively, we find that decays proceeding through effective terms of up to dimension 9 ($d=9$) remain consistent with cosmological constraints, in contrast with the result $d\leq5$ previously found in the literature. As a consequence, the heavy quarks can be much heavier and the axion mass window with the correct relic density for dark matter is extended by orders of magnitude, down to $m_a\approx 6\times 10^{-9} \,{\rm eV}$. This is achieved without resorting to fine-tuning of the initial misalignment angle, bolstering the motivation for many future axion haloscope experiments. Additionally, we explore how these models can be probed through measurements of the number of relativistic degrees of freedom at recombination.	hep-ph	24 pages, 6 figures
8	The Magic Renormalisability of Affine Gaudin Models	Falk Hassler,Sylvain Lacroix,Benoit Vicedo	We study the renormalisation of a large class of integrable $\sigma$-models obtained in the framework of affine Gaudin models. They are characterised by a simple Lie algebra $\mathfrak{g}$ and a rational twist function $\varphi(z)$ with simple zeros, a double pole at infinity but otherwise no further restrictions on the pole structure. The crucial tool used in our analysis is the interpretation of these integrable theories as $\mathcal{E}$-models, which are $\sigma$-models studied in the context of Poisson-Lie T-duality and which are known to be at least one- and two-loop renormalisable. The moduli space of $\mathcal{E}$-models still contains many non-integrable theories. We identify the submanifold formed by affine Gaudin models and relate its tangent space to curious matrices and semi-magic squares. In particular, these results provide a criteria for the stability of these integrable models under the RG-flow. At one loop, we show that this criteria is satisfied and derive a very simple expression for the RG-flow of the twist function, proving a conjecture made earlier in the literature.	hep-th	29 pages, 1 figure
9	Disorder effects in spiral spin liquids: Long-range spin textures, Friedel-like oscillations, and spiral spin glasses	Pedro M. Cônsoli,Matthias Vojta	Spiral spin liquids are correlated states of matter in which a frustrated magnetic system evades order by fluctuating between a set of (nearly) degenerate spin spirals. Here, we investigate the response of spiral spin liquids to quenched disorder in a $J_1$-$J_2$ honeycomb-lattice Heisenberg model. At the single-impurity level, we identify different order-by-quenched-disorder phenomena and analyze the ensuing spin textures. In particular, we show that the latter generally display Friedel-like oscillations, which encode direct information about the spiral contour, i.e., the classical ground-state manifold. At finite defect concentrations, we perform extensive numerical simulations and characterize the resulting phases at zero temperature. As a result, we find that the competition between incompatible order-by-quenched-disorder mechanisms can lead to spiral spin glass states already at low to moderate disorder. Finally, we discuss extensions of our conclusions to nonzero temperatures and higher-dimensional systems, as well as their applications to experiments.	cond-mat.str-el	15+11 pages, 12+6 figures
0	Synthetic Data as Validation	Qixin Hu,Alan Yuille,Zongwei Zhou	This study leverages synthetic data as a validation set to reduce overfitting and ease the selection of the best model in AI development. While synthetic data have been used for augmenting the training set, we find that synthetic data can also significantly diversify the validation set, offering marked advantages in domains like healthcare, where data are typically limited, sensitive, and from out-domain sources (i.e., hospitals). In this study, we illustrate the effectiveness of synthetic data for early cancer detection in computed tomography (CT) volumes, where synthetic tumors are generated and superimposed onto healthy organs, thereby creating an extensive dataset for rigorous validation. Using synthetic data as validation can improve AI robustness in both in-domain and out-domain test sets. Furthermore, we establish a new continual learning framework that continuously trains AI models on a stream of out-domain data with synthetic tumors. The AI model trained and validated in dynamically expanding synthetic data can consistently outperform models trained and validated exclusively on real-world data. Specifically, the DSC score for liver tumor segmentation improves from 26.7% (95% CI: 22.6%-30.9%) to 34.5% (30.8%-38.2%) when evaluated on an in-domain dataset and from 31.1% (26.0%-36.2%) to 35.4% (32.1%-38.7%) on an out-domain dataset. Importantly, the performance gain is particularly significant in identifying very tiny liver tumors (radius < 5mm) in CT volumes, with Sensitivity improving from 33.1% to 55.4% on an in-domain dataset and 33.9% to 52.3% on an out-domain dataset, justifying the efficacy in early detection of cancer. The application of synthetic data, from both training and validation perspectives, underlines a promising avenue to enhance AI robustness when dealing with data from varying domains.	cs.CV	None
1	Sketched Nanoscale KTaO3-Based Superconducting Quantum Interference Device	Muqing Yu,Nicholas Hougland,Qianheng Du,Junyi Yang,Sayanwita Biswas,Ranjani Ramachandran,Dengyu Yang,Anand Bhattacharya,David Pekker,Patrick Irvin,Jeremy Levy	The discovery of two-dimensional superconductivity in LAO/KTO (111) and (110) interfaces has raised significant interest in this system. Here we report the fabrication of nanoscale direct current superconducting quantum interference devices (DC-SQUID), created by using a conductive atomic force microscope (c-AFM) to lithographically control the conductivity at the LAO/KTO(110) interface. The field modulation of its critical current, I_c (B), corresponds well with our theoretical modeling, which is consistent with a large kinetic inductance of the superconducting 2DEG in KTO. The kinetic inductance of the SQUID is tunable by electrical gating from the back, due to the large dielectric constant of KTO. The demonstration of SQUID effect in KTO opens up the possibilities for probing the underlying physics of KTO superconductivity, such as the role of spin-orbit-coupling, pairing symmetry, and inhomogeneity. It also further implies that KTO could serve as a foundation for future quantum devices.	cond-mat.supr-con	31 pages, 16 figures
2	EquivAct: SIM(3)-Equivariant Visuomotor Policies beyond Rigid Object Manipulation	Jingyun Yang,Congyue Deng,Jimmy Wu,Rika Antonova,Leonidas Guibas,Jeannette Bohg	If a robot masters folding a kitchen towel, we would also expect it to master folding a beach towel. However, existing works for policy learning that rely on data set augmentations are still limited in achieving this level of generalization. Our insight is to add equivariance to both the visual object representation and policy architecture. We propose EquivAct which utilizes SIM(3)-equivariant network structures that guarantee generalization across all possible object translations, 3D rotations, and scales by construction. Training of EquivAct is done in two phases. We first pre-train a SIM(3)-equivariant visual representation on simulated scene point clouds. Then, we learn a SIM(3)-equivariant visuomotor policy on top of the pre-trained visual representation using a small amount of source task demonstrations. We demonstrate that after training, the learned policy directly transfers to objects that substantially differ in scale, position and orientation from the source demonstrations. In simulation, we evaluate our method in three manipulation tasks involving deformable and articulated objects thereby going beyond the typical rigid object manipulation tasks that prior works considered. We show that our method outperforms prior works that do not use equivariant architectures or do not use our contrastive pre-training procedure. We also show quantitative and qualitative experiments on three real robot tasks, where the robot watches twenty demonstrations of a tabletop task and transfers zero-shot to a mobile manipulation task in a much larger setup. Project website: https://equivact.github.io	cs.RO	None
3	MuSR: Testing the Limits of Chain-of-thought with Multistep Soft Reasoning	Zayne Sprague,Xi Ye,Kaj Bostrom,Swarat Chaudhuri,Greg Durrett	While large language models (LLMs) equipped with techniques like chain-of-thought prompting have demonstrated impressive capabilities, they still fall short in their ability to reason robustly in complex settings. However, evaluating LLM reasoning is challenging because system capabilities continue to grow while benchmark datasets for tasks like logical deduction have remained static. We introduce MuSR, a dataset for evaluating language models on multistep soft reasoning tasks specified in a natural language narrative. This dataset has two crucial features. First, it is created through a novel neurosymbolic synthetic-to-natural generation algorithm, enabling the construction of complex reasoning instances that challenge GPT-4 (e.g., murder mysteries roughly 1000 words in length) and which can be scaled further as more capable LLMs are released. Second, our dataset instances are free text narratives corresponding to real-world domains of reasoning; this makes it simultaneously much more challenging than other synthetically-crafted benchmarks while remaining realistic and tractable for human annotators to solve with high accuracy. We evaluate a range of LLMs and prompting techniques on this dataset and characterize the gaps that remain for techniques like chain-of-thought to perform robust reasoning.	cs.CL	None
4	AI Alignment and Social Choice: Fundamental Limitations and Policy Implications	Abhilash Mishra	Aligning AI agents to human intentions and values is a key bottleneck in building safe and deployable AI applications. But whose values should AI agents be aligned with? Reinforcement learning with human feedback (RLHF) has emerged as the key framework for AI alignment. RLHF uses feedback from human reinforcers to fine-tune outputs; all widely deployed large language models (LLMs) use RLHF to align their outputs to human values. It is critical to understand the limitations of RLHF and consider policy challenges arising from these limitations. In this paper, we investigate a specific challenge in building RLHF systems that respect democratic norms. Building on impossibility results in social choice theory, we show that, under fairly broad assumptions, there is no unique voting protocol to universally align AI systems using RLHF through democratic processes. Further, we show that aligning AI agents with the values of all individuals will always violate certain private ethical preferences of an individual user i.e., universal AI alignment using RLHF is impossible. We discuss policy implications for the governance of AI systems built using RLHF: first, the need for mandating transparent voting rules to hold model builders accountable. Second, the need for model builders to focus on developing AI agents that are narrowly aligned to specific user groups.	cs.AI	10 pages, no figures
5	From Posterior Sampling to Meaningful Diversity in Image Restoration	Noa Cohen,Hila Manor,Yuval Bahat,Tomer Michaeli	Image restoration problems are typically ill-posed in the sense that each degraded image can be restored in infinitely many valid ways. To accommodate this, many works generate a diverse set of outputs by attempting to randomly sample from the posterior distribution of natural images given the degraded input. Here we argue that this strategy is commonly of limited practical value because of the heavy tail of the posterior distribution. Consider for example inpainting a missing region of the sky in an image. Since there is a high probability that the missing region contains no object but clouds, any set of samples from the posterior would be entirely dominated by (practically identical) completions of sky. However, arguably, presenting users with only one clear sky completion, along with several alternative solutions such as airships, birds, and balloons, would better outline the set of possibilities. In this paper, we initiate the study of meaningfully diverse image restoration. We explore several post-processing approaches that can be combined with any diverse image restoration method to yield semantically meaningful diversity. Moreover, we propose a practical approach for allowing diffusion based image restoration methods to generate meaningfully diverse outputs, while incurring only negligent computational overhead. We conduct extensive user studies to analyze the proposed techniques, and find the strategy of reducing similarity between outputs to be significantly favorable over posterior sampling. Code and examples are available in https://noa-cohen.github.io/MeaningfulDiversityInIR	cs.CV	Code and examples are available in   https://noa-cohen.github.io/MeaningfulDiversityInIR
6	A Unified, Scalable Framework for Neural Population Decoding	Mehdi Azabou,Vinam Arora,Venkataramana Ganesh,Ximeng Mao,Santosh Nachimuthu,Michael J. Mendelson,Blake Richards,Matthew G. Perich,Guillaume Lajoie,Eva L. Dyer	Our ability to use deep learning approaches to decipher neural activity would likely benefit from greater scale, in terms of both model size and datasets. However, the integration of many neural recordings into one unified model is challenging, as each recording contains the activity of different neurons from different individual animals. In this paper, we introduce a training framework and architecture designed to model the population dynamics of neural activity across diverse, large-scale neural recordings. Our method first tokenizes individual spikes within the dataset to build an efficient representation of neural events that captures the fine temporal structure of neural activity. We then employ cross-attention and a PerceiverIO backbone to further construct a latent tokenization of neural population activities. Utilizing this architecture and training framework, we construct a large-scale multi-session model trained on large datasets from seven nonhuman primates, spanning over 158 different sessions of recording from over 27,373 neural units and over 100 hours of recordings. In a number of different tasks, we demonstrate that our pretrained model can be rapidly adapted to new, unseen sessions with unspecified neuron correspondence, enabling few-shot performance with minimal labels. This work presents a powerful new approach for building deep learning tools to analyze neural data and stakes out a clear path to training at scale.	cs.LG	Accepted at NeurIPS 2023
